race_id,place_ui,race_no,max_ev,race_label_ui
202605090801,京都,1,-0.9955591545155617,京都1R
202605090802,京都,2,-0.9995573863468274,京都2R
202605090803,京都,3,-0.9725170048559162,京都3R
202605090804,京都,4,-0.9969282877343582,京都4R
202605090805,京都,5,-0.9886714736900416,京都5R
202605090806,京都,6,-0.9989019230604798,京都6R
202605090807,京都,7,-0.9703545331407012,京都7R
202605090808,京都,8,-0.9995894705798748,京都8R
202605090809,京都,9,-0.9182247014088856,京都9R
202605090810,京都,10,-0.9833467807422724,京都10R
202605090811,京都,11,-0.9895397102828968,京都11R
202605090812,京都,12,-0.999196525826052,京都12R
202605090401,新潟,1,-0.988441662208626,新潟1R
202605090402,新潟,2,-0.9628689722646137,新潟2R
202605090403,新潟,3,-0.9901537120546112,新潟3R
202605090404,新潟,4,-0.9901980989056308,新潟4R
202605090405,新潟,5,-0.9931745374095856,新潟5R
202605090406,新潟,6,-0.9971760845152592,新潟6R
202605090407,新潟,7,-0.9959574238314404,新潟7R
202605090408,新潟,8,-0.9966445553719836,新潟8R
202605090409,新潟,9,-0.999131065541923,新潟9R
202605090410,新潟,10,-0.994951934677968,新潟10R
202605090411,新潟,11,-0.998511695716088,新潟11R
202605090412,新潟,12,-0.902844652584565,新潟12R
202605090501,東京,1,-0.9970180975126114,東京1R
202605090502,東京,2,-0.992861495289876,東京2R
202605090503,東京,3,-0.9880448919532526,東京3R
202605090504,東京,4,-0.983373433071148,東京4R
202605090505,東京,5,-0.9960988143552408,東京5R
202605090506,東京,6,-0.9935795819591052,東京6R
202605090507,東京,7,-0.9981609245827088,東京7R
202605090508,東京,8,-0.9506380389339528,東京8R
202605090509,東京,9,-0.9964665948171416,東京9R
202605090510,東京,10,-0.998493908386904,東京10R
202605090511,東京,11,-0.999509680433778,東京11R
202605090512,東京,12,-0.9984919315524664,東京12R
